Car ID,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
1,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,four,130,3.47,2.68,9,111,5000,21,27,13495
2,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,four,130,3.47,2.68,9,111,5000,21,27,16500
3,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,six,152,2.68,3.47,9,154,5000,19,26,16500
4,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,four,109,3.19,3.4,10,102,5500,24,30,13950
5,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,five,136,3.19,3.4,8,115,5500,18,22,17450
6,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,five,136,3.19,3.4,8.5,110,5500,19,25,15250
7,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,five,136,3.19,3.4,8.5,110,5500,19,25,17710
8,audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,five,136,3.19,3.4,8.5,110,5500,19,25,18920
9,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,five,131,3.13,3.4,8.3,140,5500,17,20,23875
10,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,four,108,3.5,2.8,8.8,101,5800,23,29,16430
11,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,four,108,3.5,2.8,8.8,101,5800,23,29,16925
12,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,six,164,3.31,3.19,9,121,4250,21,28,20970
13,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,six,164,3.31,3.19,9,121,4250,21,28,21105
14,bmw,gas,std,four,sedan,rwd,front,103.5,189,66.9,55.7,3055,six,164,3.31,3.19,9,121,4250,20,25,24565
15,bmw,gas,std,four,sedan,rwd,front,103.5,189,66.9,55.7,3230,six,209,3.62,3.39,8,182,5400,16,22,30760
16,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,six,209,3.62,3.39,8,182,5400,16,22,41315
17,bmw,gas,std,four,sedan,rwd,front,110,197,70.9,56.3,3505,six,209,3.62,3.39,8,182,5400,15,20,36880
18,chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,three,61,2.91,3.03,9.5,48,5100,47,53,5151
19,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52,1874,four,90,3.03,3.11,9.6,70,5400,38,43,6295
20,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,four,90,3.03,3.11,9.6,70,5400,38,43,6575
21,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,four,90,2.97,3.23,9.41,68,5500,37,41,5572
22,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,four,90,2.97,3.23,9.4,68,5500,31,38,6377
23,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,four,98,3.03,3.39,7.6,102,5500,24,30,7957
24,dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,four,90,2.97,3.23,9.4,68,5500,31,38,6229
25,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,four,90,2.97,3.23,9.4,68,5500,31,38,6692
26,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,four,90,2.97,3.23,9.4,68,5500,31,38,7609
27,dodge,gas,turbo,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,four,98,3.03,3.39,7.6,102,5500,24,30,8558
28,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,four,122,3.34,3.46,8.5,88,5000,24,30,8921
29,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,four,156,3.6,3.9,7,145,5000,19,24,12964
30,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,four,92,2.91,3.41,9.6,58,4800,49,54,6479
31,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,four,92,2.91,3.41,9.2,76,6000,31,38,6855
32,honda,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1837,four,79,2.91,3.07,10.1,60,5500,38,42,5399
33,honda,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1940,four,92,2.91,3.41,9.2,76,6000,30,34,6529
34,honda,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1956,four,92,2.91,3.41,9.2,76,6000,30,34,7129
35,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64,54.5,2010,four,92,2.91,3.41,9.2,76,6000,30,34,7295
36,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,four,92,2.92,3.41,9.2,76,6000,30,34,7295
37,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,four,110,3.15,3.58,9,86,5800,27,33,7895
38,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,four,110,3.15,3.58,9,86,5800,27,33,9095
39,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,four,110,3.15,3.58,9,86,5800,27,33,8845
40,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,four,110,3.15,3.58,9,86,5800,27,33,10295
41,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,four,110,3.15,3.58,9,101,5800,24,28,12945
42,honda,gas,std,two,sedan,fwd,front,96.5,169.1,66,51,2293,four,110,3.15,3.58,9.1,100,5500,25,31,10345
43,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,four,111,3.31,3.23,8.5,78,4800,24,29,6785
44,isuzu,gas,std,two,hatchback,rwd,front,96,172.6,65.2,51.4,2734,four,119,3.43,3.23,9.2,90,5000,24,29,11048
45,jaguar,gas,std,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,six,258,3.63,4.17,8.1,176,4750,15,19,32250
46,jaguar,gas,std,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,six,258,3.63,4.17,8.1,176,4750,15,19,35550
47,jaguar,gas,std,two,sedan,rwd,front,102,191.7,70.6,47.8,3950,twelve,326,3.54,2.76,11.5,262,5000,13,17,36000
48,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,four,91,3.03,3.15,9,68,5000,30,31,5195
49,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,four,91,3.03,3.15,9,68,5000,31,38,6095
50,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,four,91,3.03,3.15,9,68,5000,31,38,6795
51,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,four,91,3.03,3.15,9,68,5000,31,38,6695
52,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,four,91,3.08,3.15,9,68,5000,31,38,7395
53,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,four,122,3.39,3.39,8.6,84,4800,26,32,8845
54,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,four,122,3.39,3.39,8.6,84,4800,26,32,8495
55,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,four,122,3.39,3.39,8.6,84,4800,26,32,10595
56,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,four,122,3.39,3.39,8.6,84,4800,26,32,10245
57,mazda,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,four,122,3.39,3.39,22.7,64,4650,36,42,10795
58,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,four,122,3.39,3.39,8.6,84,4800,26,32,11245
59,mazda,gas,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2670,four,140,3.76,3.16,8,120,5000,19,27,18280
60,mazda,diesel,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2700,four,134,3.43,3.64,22,72,4200,31,39,18344
61,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110,190.9,70.3,56.5,3515,five,183,3.58,3.64,21.5,123,4350,22,25,25552
62,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110,190.9,70.3,58.7,3750,five,183,3.58,3.64,21.5,123,4350,22,25,28248
63,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,five,183,3.58,3.64,21.5,123,4350,22,25,28176
64,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,five,183,3.58,3.64,21.5,123,4350,22,25,31600
65,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,eight,234,3.46,3.1,8.3,155,4750,16,18,34184
66,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,eight,234,3.46,3.1,8.3,155,4750,16,18,35056
67,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,eight,308,3.8,3.35,8,184,4500,14,16,40960
68,mercedes-benz,gas,std,two,hardtop,rwd,front,112,199.2,72,55.4,3715,eight,304,3.8,3.35,8,184,4500,14,16,45400
69,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68,54.8,2910,four,140,3.78,3.12,8,175,5000,19,24,16503
70,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,four,92,2.97,3.23,9.4,68,5500,37,41,5389
71,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,four,92,2.97,3.23,9.4,68,5500,31,38,6189
72,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,four,92,2.97,3.23,9.4,68,5500,31,38,6669
73,mitsubishi,gas,turbo,two,hatchback,fwd,front,93,157.3,63.8,50.8,2145,four,98,3.03,3.39,7.6,102,5500,24,30,7689
74,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173,65.4,49.4,2370,four,110,3.17,3.46,7.5,116,5500,23,30,9959
75,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173,65.4,49.4,2328,four,122,3.35,3.46,8.5,88,5000,25,32,8499
76,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,four,156,3.58,3.86,7,145,5000,19,24,12629
77,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,four,156,3.59,3.86,7,145,5000,19,24,14869
78,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,four,156,3.59,3.86,7,145,5000,19,24,14489
79,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,four,122,3.35,3.46,8.5,88,5000,25,32,6989
80,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,four,122,3.35,3.46,8.5,88,5000,25,32,8189
81,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,four,110,3.17,3.46,7.5,116,5500,23,30,9279
82,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,four,110,3.17,3.46,7.5,116,5500,23,30,9279
83,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,four,97,3.15,3.29,9.4,69,5200,31,37,5499
84,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,four,103,2.99,3.47,21.9,55,4800,45,50,7099
85,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,four,97,3.15,3.29,9.4,69,5200,31,37,6649
86,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,four,97,3.15,3.29,9.4,69,5200,31,37,6849
87,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,four,97,3.15,3.29,9.4,69,5200,31,37,7349
88,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,four,97,3.15,3.29,9.4,69,5200,31,37,7299
89,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,four,97,3.15,3.29,9.4,69,5200,31,37,7799
90,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,four,97,3.15,3.29,9.4,69,5200,31,37,7499
91,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,four,97,3.15,3.29,9.4,69,5200,31,37,7999
92,nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,four,97,3.15,3.29,9.4,69,5200,31,37,8249
93,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,four,120,3.33,3.47,8.5,97,5200,27,34,8949
94,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,four,120,3.33,3.47,8.5,97,5200,27,34,9549
95,nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,six,181,3.43,3.27,9,152,5200,17,22,13499
96,nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,six,181,3.43,3.27,9,152,5200,17,22,14399
97,nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,six,181,3.43,3.27,9,152,5200,19,25,13499
98,nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,six,181,3.43,3.27,9,160,5200,19,25,17199
99,nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,six,181,3.43,3.27,7.8,200,5200,17,23,19699
100,nissan,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,six,181,3.43,3.27,9,160,5200,19,25,18399
101,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,four,120,3.46,3.19,8.4,97,5000,19,24,11900
102,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,four,152,3.7,3.52,21,95,4150,28,33,13200
103,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,four,120,3.46,3.19,8.4,97,5000,19,24,12440
104,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,four,152,3.7,3.52,21,95,4150,25,25,13860
105,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,four,120,3.46,2.19,8.4,95,5000,19,24,15580
106,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,four,152,3.7,3.52,21,95,4150,28,33,16900
107,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,four,120,3.46,2.19,8.4,95,5000,19,24,16695
108,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,four,152,3.7,3.52,21,95,4150,25,25,17075
109,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,four,120,3.46,3.19,8.4,97,5000,19,24,16630
110,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,four,152,3.7,3.52,21,95,4150,28,33,17950
111,peugot,gas,turbo,four,sedan,rwd,front,108,186.7,68.3,56,3130,four,134,3.61,3.21,7,142,5600,18,24,18150
112,plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,four,90,2.97,3.23,9.4,68,5500,37,41,5572
113,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,four,98,3.03,3.39,7.6,102,5500,24,30,7957
114,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,four,90,2.97,3.23,9.4,68,5500,31,38,6229
115,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,four,90,2.97,3.23,9.4,68,5500,31,38,6692
116,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,four,98,2.97,3.23,9.4,68,5500,31,38,7609
117,plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,four,122,3.35,3.46,8.5,88,5000,24,30,8921
118,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,four,156,3.59,3.86,7,145,5000,19,24,12764
119,porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,four,151,3.94,3.11,9.5,143,5500,19,27,22018
120,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,six,194,3.74,2.9,9.5,207,5900,17,25,32528
121,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,six,194,3.74,2.9,9.5,207,5900,17,25,34028
122,porsche,gas,std,two,convertible,rwd,rear,89.5,168.9,65,51.6,2800,six,194,3.74,2.9,9.5,207,5900,17,25,37028
123,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,four,121,3.54,3.07,9.31,110,5250,21,28,11850
124,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,four,121,3.54,3.07,9.3,110,5250,21,28,12170
125,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,four,121,2.54,2.07,9.3,110,5250,21,28,15040
126,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,four,121,3.54,3.07,9.3,110,5250,21,28,15510
127,saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,four,121,3.54,3.07,9,160,5500,19,26,18150
128,saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,four,121,3.54,3.07,9,160,5500,19,26,18620
129,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,four,97,3.62,2.36,9,69,4900,31,36,5118
130,subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,four,108,3.62,2.64,8.7,73,4400,26,31,7053
131,subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,four,108,3.62,2.64,8.7,73,4400,26,31,7603
132,subaru,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2145,four,108,3.62,2.64,9.5,82,4800,32,37,7126
133,subaru,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2190,four,108,3.62,2.64,9.5,82,4400,28,33,7775
134,subaru,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2340,four,108,3.62,2.64,9,94,5200,26,32,9960
135,subaru,gas,std,four,sedan,4wd,front,97,172,65.4,54.3,2385,four,108,3.62,2.64,9,82,4800,24,25,9233
136,subaru,gas,turbo,four,sedan,4wd,front,97,172,65.4,54.3,2510,four,108,3.62,2.64,7.7,111,4800,24,29,11259
137,subaru,gas,std,four,wagon,fwd,front,97,173.5,65.4,53,2290,four,108,3.62,2.64,9,82,4800,28,32,7463
138,subaru,gas,std,four,wagon,fwd,front,97,173.5,65.4,53,2455,four,108,3.62,2.64,9,94,5200,25,31,10198
139,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,four,108,3.62,2.64,9,82,4800,23,29,8013
140,subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,four,108,3.62,2.64,7.7,111,4800,23,23,11694
141,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,four,92,3.05,3.03,9,62,4800,35,39,5348
142,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,four,92,3.05,3.03,9,62,4800,31,38,6338
143,toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,four,92,3.05,3.03,9,62,4800,31,38,6488
144,toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,four,92,3.05,3.03,9,62,4800,31,37,6918
145,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,four,92,3.05,3.03,9,62,4800,27,32,7898
146,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,four,92,3.05,3.03,9,62,4800,27,32,8778
147,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2081,four,98,3.19,3.03,9,70,4800,30,37,6938
148,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,four,98,3.19,3.03,9,70,4800,30,37,7198
149,toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2275,four,110,3.27,3.35,22.5,56,4500,34,36,7898
150,toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,four,110,3.27,3.35,22.5,56,4500,38,47,7788
151,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2094,four,98,3.19,3.03,9,70,4800,38,47,7738
152,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,four,98,3.19,3.03,9,70,4800,28,34,8358
153,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,four,98,3.19,3.03,9,70,4800,28,34,9258
154,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64,52.6,2169,four,98,3.19,3.03,9,70,4800,29,34,8058
155,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64,52.6,2204,four,98,3.19,3.03,9,70,4800,29,34,8238
156,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64,52.6,2265,four,98,3.24,3.08,9.4,112,6600,26,29,9298
157,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64,52.6,2300,four,98,3.24,3.08,9.4,112,6600,26,29,9538
158,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52,2540,four,146,3.62,3.5,9.3,116,4800,24,30,8449
159,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52,2536,four,146,3.62,3.5,9.3,116,4800,24,30,9639
160,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52,2551,four,146,3.62,3.5,9.3,116,4800,24,30,9989
161,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52,2679,four,146,3.62,3.5,9.3,116,4800,24,30,11199
162,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52,2714,four,146,3.62,3.5,9.3,116,4800,24,30,11549
163,toyota,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53,2975,four,146,3.62,3.5,9.3,116,4800,24,30,17669
164,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,four,122,3.31,3.54,8.7,92,4200,29,34,8948
165,toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,four,110,3.27,3.35,22.5,73,4500,30,33,10698
166,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,four,122,3.31,3.54,8.7,92,4200,27,32,9988
167,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,four,122,3.31,3.54,8.7,92,4200,27,32,10898
168,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,four,122,3.31,3.54,8.7,92,4200,27,32,11248
169,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52,2976,six,171,3.27,3.35,9.3,161,5200,20,24,16558
170,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52,3016,six,171,3.27,3.35,9.3,161,5200,19,24,15998
171,toyota,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,six,171,3.27,3.35,9.2,156,5200,20,24,15690
172,toyota,gas,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,six,161,3.27,3.35,9.2,156,5200,19,24,15750
173,volkswagen,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,four,97,3.01,3.4,23,52,4800,37,46,7775
174,volkswagen,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,four,109,3.19,3.4,9,85,5250,27,34,7975
175,volkswagen,diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,four,97,3.01,3.4,23,52,4800,37,46,7995
176,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,four,109,3.19,3.4,9,85,5250,27,34,8195
177,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,four,109,3.19,3.4,9,85,5250,27,34,8495
178,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,four,97,3.01,3.4,23,68,4500,37,42,9495
179,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,four,109,3.19,3.4,10,100,5500,26,32,9995
180,volkswagen,gas,std,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,four,109,3.19,3.4,8.5,90,5500,24,29,11595
181,volkswagen,gas,std,two,hatchback,fwd,front,94.5,165.7,64,51.4,2221,four,109,3.19,3.4,8.5,90,5500,24,29,9980
182,volkswagen,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,five,136,3.19,3.4,8.5,110,5500,19,24,13295
183,volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,four,97,3.01,3.4,23,68,4500,33,38,13845
184,volkswagen,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,four,109,3.19,3.4,9,88,5500,25,31,12290
185,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,four,141,3.78,3.15,9.5,114,5400,23,28,12940
186,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,four,141,3.78,3.15,9.5,114,5400,23,28,13415
187,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,four,141,3.78,3.15,9.5,114,5400,24,28,15985
188,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,four,141,3.78,3.15,9.5,114,5400,24,28,16515
189,volvo,gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,four,130,3.62,3.15,7.5,162,5100,17,22,18420
190,volvo,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,four,130,3.62,3.15,7.5,162,5100,17,22,18950
191,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,four,141,3.78,3.15,9.5,114,5400,23,28,16845
192,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,four,141,3.78,3.15,8.7,160,5300,19,25,19045
193,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,six,173,3.58,2.87,8.8,134,5500,18,23,21485
194,volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,six,145,3.01,3.4,23,106,4800,26,27,22470
195,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,four,141,3.78,3.15,9.5,114,5400,19,25,22625
