Category,Committed,Jan demand,Location,Max,Min,Number of Records,On PO,Onhand,Product Name,SS,Sub- Category,Unit Cost,Unit Price,Concat,On Hand,Order 1,Order
Furniture,12,6,Alaska,11,17,1,10,25,Bush Mission Pointe Library,5,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryAlaska,13,8,-12
Furniture,10,34,California,35,10,1,7,41,Bush Mission Pointe Library,1,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryCalifornia,38,37,-3
Furniture,11,49,Colorado,56,18,1,6,26,Bush Mission Pointe Library,7,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryColorado,61,54,35
Furniture,9,44,Florida,54,12,1,8,24,Bush Mission Pointe Library,10,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryFlorida,55,45,31
Furniture,8,30,Georgia,33,20,1,10,35,Bush Mission Pointe Library,3,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryGeorgia,31,28,-4
Furniture,15,28,Hawaii,29,11,1,9,39,Bush Mission Pointe Library,1,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryHawaii,35,34,-4
Furniture,8,85,Kentucky,88,10,1,10,38,Bush Mission Pointe Library,3,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryKentucky,86,83,48
Furniture,15,32,Michigan,36,18,1,5,42,Bush Mission Pointe Library,4,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryMichigan,46,42,4
Furniture,10,38,Mississippi,47,10,1,6,45,Bush Mission Pointe Library,9,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryMississippi,51,42,6
Furniture,10,84,Nevada,91,19,1,9,36,Bush Mission Pointe Library,7,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryNevada,92,85,56
Furniture,8,44,New Jersey,48,19,1,5,46,Bush Mission Pointe Library,4,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryNew Jersey,51,47,5
Furniture,14,0,New Mexico,2,20,1,6,31,Bush Mission Pointe Library,2,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryNew Mexico,10,8,-21
Furniture,12,60,New York,70,13,1,5,30,Bush Mission Pointe Library,10,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryNew York,77,67,47
Furniture,11,74,Texas,83,19,1,10,49,Bush Mission Pointe Library,9,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryTexas,84,75,35
Furniture,12,61,Washington,70,17,1,6,29,Bush Mission Pointe Library,9,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryWashington,76,67,47
Furniture,13,29,Alaska,31,11,1,9,33,High-Back Leather Manager's Chair,2,Chairs,83.1936,103.992,High-Back Leather Manager's ChairAlaska,35,33,2
Furniture,9,0,Alaska,3,13,1,5,29,Novimex Swivel Fabric Task Chair,3,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairAlaska,7,4,-22
Furniture,13,78,California,79,17,1,10,50,High-Back Leather Manager's Chair,1,Chairs,83.1936,103.992,High-Back Leather Manager's ChairCalifornia,82,81,32
Furniture,13,0,California,8,16,1,6,38,Novimex Swivel Fabric Task Chair,8,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairCalifornia,15,7,-23
Furniture,10,28,Colorado,34,14,1,8,40,High-Back Leather Manager's Chair,6,Chairs,83.1936,103.992,High-Back Leather Manager's ChairColorado,36,30,-4
Furniture,12,89,Colorado,93,15,1,8,38,Novimex Swivel Fabric Task Chair,4,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairColorado,97,93,59
Furniture,13,15,Florida,18,13,1,9,39,High-Back Leather Manager's Chair,3,Chairs,83.1936,103.992,High-Back Leather Manager's ChairFlorida,22,19,-17
Furniture,8,0,Florida,3,12,1,9,47,Novimex Swivel Fabric Task Chair,3,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairFlorida,2,-1,-45
Furniture,10,25,Georgia,34,15,1,8,27,High-Back Leather Manager's Chair,9,Chairs,83.1936,103.992,High-Back Leather Manager's ChairGeorgia,36,27,9
Furniture,15,66,Georgia,67,19,1,9,30,Novimex Swivel Fabric Task Chair,1,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairGeorgia,73,72,43
Furniture,9,18,Hawaii,22,18,1,8,21,High-Back Leather Manager's Chair,4,Chairs,83.1936,103.992,High-Back Leather Manager's ChairHawaii,23,19,2
Furniture,9,68,Hawaii,73,16,1,5,21,Novimex Swivel Fabric Task Chair,5,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairHawaii,77,72,56
Furniture,11,5,Kentucky,9,17,1,9,47,High-Back Leather Manager's Chair,4,Chairs,83.1936,103.992,High-Back Leather Manager's ChairKentucky,11,7,-36
Furniture,8,39,Kentucky,44,11,1,6,30,Novimex Swivel Fabric Task Chair,5,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairKentucky,46,41,16
Furniture,13,7,Michigan,15,15,1,8,41,High-Back Leather Manager's Chair,8,Chairs,83.1936,103.992,High-Back Leather Manager's ChairMichigan,20,12,-21
Furniture,12,6,Michigan,14,16,1,8,33,Novimex Swivel Fabric Task Chair,8,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairMichigan,18,10,-15
Furniture,9,25,Mississippi,30,16,1,5,37,High-Back Leather Manager's Chair,5,Chairs,83.1936,103.992,High-Back Leather Manager's ChairMississippi,34,29,-3
Furniture,9,0,Mississippi,8,10,1,7,43,Novimex Swivel Fabric Task Chair,8,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairMississippi,10,2,-33
Furniture,14,29,Nevada,34,10,1,6,50,High-Back Leather Manager's Chair,5,Chairs,83.1936,103.992,High-Back Leather Manager's ChairNevada,42,37,-8
Furniture,12,25,Nevada,30,15,1,6,49,Novimex Swivel Fabric Task Chair,5,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairNevada,36,31,-13
Furniture,15,0,New Jersey,5,15,1,6,37,High-Back Leather Manager's Chair,5,Chairs,83.1936,103.992,High-Back Leather Manager's ChairNew Jersey,14,9,-23
Furniture,9,1,New Jersey,7,17,1,6,48,Novimex Swivel Fabric Task Chair,6,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairNew Jersey,10,4,-38
Furniture,13,36,New Mexico,40,19,1,6,45,High-Back Leather Manager's Chair,4,Chairs,83.1936,103.992,High-Back Leather Manager's ChairNew Mexico,47,43,2
Furniture,12,28,New Mexico,32,15,1,10,45,Novimex Swivel Fabric Task Chair,4,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairNew Mexico,34,30,-11
Furniture,11,13,New York,18,17,1,6,26,High-Back Leather Manager's Chair,5,Chairs,83.1936,103.992,High-Back Leather Manager's ChairNew York,23,18,-3
Furniture,9,14,New York,20,11,1,5,20,Novimex Swivel Fabric Task Chair,6,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairNew York,24,18,4
Furniture,14,8,Texas,14,16,1,7,42,High-Back Leather Manager's Chair,6,Chairs,83.1936,103.992,High-Back Leather Manager's ChairTexas,21,15,-21
Furniture,8,0,Texas,8,17,1,5,47,Novimex Swivel Fabric Task Chair,8,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairTexas,11,3,-36
Furniture,10,18,Washington,27,19,1,6,44,High-Back Leather Manager's Chair,9,Chairs,83.1936,103.992,High-Back Leather Manager's ChairWashington,31,22,-13
Furniture,11,27,Washington,29,12,1,8,24,Novimex Swivel Fabric Task Chair,2,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairWashington,32,30,8
Furniture,15,26,Alaska,31,10,1,10,43,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",5,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackAlaska",36,31,-7
Furniture,11,68,Alaska,77,12,1,5,45,Longer-Life Soft White Bulbs,9,Furnishings,2.464,3.08,Longer-Life Soft White BulbsAlaska,83,74,38
Furniture,8,58,California,63,18,1,9,38,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",5,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackCalifornia",62,57,24
Furniture,9,0,California,2,17,1,9,39,Longer-Life Soft White Bulbs,2,Furnishings,2.464,3.08,Longer-Life Soft White BulbsCalifornia,2,0,-37
Furniture,12,104,Colorado,106,10,1,5,37,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackColorado",113,111,76
Furniture,10,44,Colorado,47,13,1,7,25,Longer-Life Soft White Bulbs,3,Furnishings,2.464,3.08,Longer-Life Soft White BulbsColorado,50,47,25
Furniture,15,10,Florida,14,12,1,8,23,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",4,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackFlorida",21,17,-2
Furniture,9,76,Florida,81,18,1,9,31,Longer-Life Soft White Bulbs,5,Furnishings,2.464,3.08,Longer-Life Soft White BulbsFlorida,81,76,50
Furniture,9,22,Georgia,23,13,1,7,31,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",1,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackGeorgia",25,24,-6
Furniture,9,29,Georgia,34,11,1,7,46,Longer-Life Soft White Bulbs,5,Furnishings,2.464,3.08,Longer-Life Soft White BulbsGeorgia,36,31,-10
Furniture,9,40,Hawaii,45,17,1,10,44,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",5,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackHawaii",44,39,0
Furniture,12,0,Hawaii,8,10,1,6,39,Longer-Life Soft White Bulbs,8,Furnishings,2.464,3.08,Longer-Life Soft White BulbsHawaii,14,6,-25
Furniture,9,19,Kentucky,23,17,1,10,45,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",4,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackKentucky",22,18,-23
Furniture,15,0,Kentucky,4,14,1,8,23,Longer-Life Soft White Bulbs,4,Furnishings,2.464,3.08,Longer-Life Soft White BulbsKentucky,11,7,-12
Furniture,15,73,Michigan,75,13,1,9,49,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackMichigan",81,79,32
Furniture,9,13,Michigan,23,17,1,6,29,Longer-Life Soft White Bulbs,10,Furnishings,2.464,3.08,Longer-Life Soft White BulbsMichigan,26,16,-3
Furniture,8,13,Mississippi,17,11,1,9,45,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",4,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackMississippi",16,12,-29
Furniture,9,52,Mississippi,55,10,1,10,21,Longer-Life Soft White Bulbs,3,Furnishings,2.464,3.08,Longer-Life Soft White BulbsMississippi,54,51,33
Furniture,9,17,Nevada,18,14,1,6,20,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",1,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackNevada",21,20,1
Furniture,11,51,Nevada,59,19,1,8,36,Longer-Life Soft White Bulbs,8,Furnishings,2.464,3.08,Longer-Life Soft White BulbsNevada,62,54,26
Furniture,9,2,New Jersey,5,12,1,7,21,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",3,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackNew Jersey",7,4,-14
Furniture,15,40,New Jersey,44,20,1,9,49,Longer-Life Soft White Bulbs,4,Furnishings,2.464,3.08,Longer-Life Soft White BulbsNew Jersey,50,46,1
Furniture,8,30,New Mexico,37,18,1,5,35,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",7,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackNew Mexico",40,33,5
Furniture,11,6,New Mexico,7,20,1,5,20,Longer-Life Soft White Bulbs,1,Furnishings,2.464,3.08,Longer-Life Soft White BulbsNew Mexico,13,12,-7
Furniture,13,65,New York,69,11,1,5,41,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",4,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackNew York",77,73,36
Furniture,9,0,New York,7,14,1,7,35,Longer-Life Soft White Bulbs,7,Furnishings,2.464,3.08,Longer-Life Soft White BulbsNew York,9,2,-26
Furniture,11,0,Texas,8,13,1,5,28,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",8,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackTexas",14,6,-14
Furniture,8,55,Texas,59,19,1,7,48,Longer-Life Soft White Bulbs,4,Furnishings,2.464,3.08,Longer-Life Soft White BulbsTexas,60,56,12
Furniture,9,27,Washington,36,16,1,8,25,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",9,Furnishings,30.5472,38.184,"Electrix Architect's Clamp-On Swing Arm Lamp, BlackWashington",37,28,12
Furniture,13,43,Washington,51,16,1,8,45,Longer-Life Soft White Bulbs,8,Furnishings,2.464,3.08,Longer-Life Soft White BulbsWashington,56,48,11
Furniture,9,112,Alaska,118,11,1,7,36,Bevis 36 x 72 Conference Tables,6,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesAlaska,120,114,84
Furniture,10,54,California,62,18,1,5,46,Bevis 36 x 72 Conference Tables,8,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesCalifornia,67,59,21
Furniture,13,24,Colorado,32,20,1,8,30,Bevis 36 x 72 Conference Tables,8,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesColorado,37,29,7
Furniture,9,42,Florida,47,19,1,9,23,Bevis 36 x 72 Conference Tables,5,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesFlorida,47,42,24
Furniture,8,38,Georgia,40,20,1,5,30,Bevis 36 x 72 Conference Tables,2,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesGeorgia,43,41,13
Furniture,14,27,Hawaii,33,17,1,8,39,Bevis 36 x 72 Conference Tables,6,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesHawaii,39,33,0
Furniture,12,46,Kentucky,56,11,1,10,39,Bevis 36 x 72 Conference Tables,10,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesKentucky,58,48,19
Furniture,14,64,Michigan,67,14,1,6,47,Bevis 36 x 72 Conference Tables,3,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesMichigan,75,72,28
Furniture,8,39,Mississippi,49,14,1,9,30,Bevis 36 x 72 Conference Tables,10,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesMississippi,48,38,18
Furniture,14,8,Nevada,12,14,1,8,34,Bevis 36 x 72 Conference Tables,4,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesNevada,18,14,-16
Furniture,14,0,New Jersey,1,14,1,10,33,Bevis 36 x 72 Conference Tables,1,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesNew Jersey,5,4,-28
Furniture,11,31,New Mexico,37,13,1,10,29,Bevis 36 x 72 Conference Tables,6,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesNew Mexico,38,32,9
Furniture,12,64,New York,67,10,1,9,49,Bevis 36 x 72 Conference Tables,3,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesNew York,70,67,21
Furniture,11,56,Texas,57,17,1,6,32,Bevis 36 x 72 Conference Tables,1,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesTexas,62,61,30
Furniture,15,24,Washington,31,14,1,7,25,Bevis 36 x 72 Conference Tables,7,Tables,99.592,124.49,Bevis 36 x 72 Conference TablesWashington,39,32,14
Office Supplies,11,11,Alaska,20,17,1,10,22,3M Office Air Cleaner,9,Appliances,20.784,25.98,3M Office Air CleanerAlaska,21,12,-1
Office Supplies,8,70,Alaska,79,17,1,10,50,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,9,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomAlaska,77,68,27
Office Supplies,10,4,Alaska,10,19,1,6,29,Staple holder,6,Appliances,9.576,11.97,Staple holderAlaska,14,8,-15
Office Supplies,11,21,California,25,13,1,10,30,3M Office Air Cleaner,4,Appliances,20.784,25.98,3M Office Air CleanerCalifornia,26,22,-4
Office Supplies,14,55,California,60,16,1,5,22,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,5,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomCalifornia,69,64,47
Office Supplies,15,22,California,25,16,1,5,35,Staple holder,3,Appliances,9.576,11.97,Staple holderCalifornia,35,32,0
Office Supplies,15,32,Colorado,38,19,1,10,37,3M Office Air Cleaner,6,Appliances,20.784,25.98,3M Office Air CleanerColorado,43,37,6
Office Supplies,9,71,Colorado,81,15,1,7,31,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,10,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomColorado,83,73,52
Office Supplies,10,12,Colorado,13,17,1,7,41,Staple holder,1,Appliances,9.576,11.97,Staple holderColorado,16,15,-25
Office Supplies,9,0,Florida,4,12,1,9,23,3M Office Air Cleaner,4,Appliances,20.784,25.98,3M Office Air CleanerFlorida,4,0,-19
Office Supplies,9,68,Florida,69,12,1,7,35,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,1,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomFlorida,71,70,36
Office Supplies,12,39,Florida,48,13,1,8,35,Staple holder,9,Appliances,9.576,11.97,Staple holderFlorida,52,43,17
Office Supplies,9,0,Georgia,8,14,1,5,33,3M Office Air Cleaner,8,Appliances,20.784,25.98,3M Office Air CleanerGeorgia,12,4,-21
Office Supplies,13,0,Georgia,9,20,1,5,34,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,9,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomGeorgia,17,8,-17
Office Supplies,11,44,Georgia,50,14,1,9,42,Staple holder,6,Appliances,9.576,11.97,Staple holderGeorgia,52,46,10
Office Supplies,14,0,Hawaii,3,12,1,10,37,3M Office Air Cleaner,3,Appliances,20.784,25.98,3M Office Air CleanerHawaii,7,4,-30
Office Supplies,15,5,Hawaii,7,13,1,8,48,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,2,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomHawaii,14,12,-34
Office Supplies,11,14,Hawaii,23,13,1,7,44,Staple holder,9,Appliances,9.576,11.97,Staple holderHawaii,27,18,-17
Office Supplies,9,0,Kentucky,10,18,1,9,44,3M Office Air Cleaner,10,Appliances,20.784,25.98,3M Office Air CleanerKentucky,10,0,-34
Office Supplies,11,0,Kentucky,1,16,1,6,25,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,1,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomKentucky,6,5,-19
Office Supplies,15,5,Kentucky,14,19,1,6,21,Staple holder,9,Appliances,9.576,11.97,Staple holderKentucky,23,14,2
Office Supplies,8,0,Michigan,5,17,1,6,31,3M Office Air Cleaner,5,Appliances,20.784,25.98,3M Office Air CleanerMichigan,7,2,-24
Office Supplies,15,33,Michigan,42,12,1,5,24,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,9,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomMichigan,52,43,28
Office Supplies,11,26,Michigan,32,16,1,6,24,Staple holder,6,Appliances,9.576,11.97,Staple holderMichigan,37,31,13
Office Supplies,10,0,Mississippi,10,10,1,9,49,3M Office Air Cleaner,10,Appliances,20.784,25.98,3M Office Air CleanerMississippi,11,1,-38
Office Supplies,11,65,Mississippi,73,20,1,6,33,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,8,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomMississippi,78,70,45
Office Supplies,14,16,Mississippi,25,18,1,6,30,Staple holder,9,Appliances,9.576,11.97,Staple holderMississippi,33,24,3
Office Supplies,10,92,Nevada,96,19,1,6,22,3M Office Air Cleaner,4,Appliances,20.784,25.98,3M Office Air CleanerNevada,100,96,78
Office Supplies,9,0,Nevada,1,15,1,8,22,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,1,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomNevada,2,1,-20
Office Supplies,15,69,Nevada,78,12,1,7,31,Staple holder,9,Appliances,9.576,11.97,Staple holderNevada,86,77,55
Office Supplies,10,44,New Jersey,46,13,1,5,37,3M Office Air Cleaner,2,Appliances,20.784,25.98,3M Office Air CleanerNew Jersey,51,49,14
Office Supplies,9,45,New Jersey,48,18,1,5,44,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,3,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomNew Jersey,52,49,8
Office Supplies,8,28,New Jersey,34,11,1,6,44,Staple holder,6,Appliances,9.576,11.97,Staple holderNew Jersey,36,30,-8
Office Supplies,13,79,New Mexico,83,16,1,10,40,3M Office Air Cleaner,4,Appliances,20.784,25.98,3M Office Air CleanerNew Mexico,86,82,46
Office Supplies,14,0,New Mexico,6,16,1,7,34,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,6,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomNew Mexico,13,7,-21
Office Supplies,14,0,New Mexico,2,15,1,7,33,Staple holder,2,Appliances,9.576,11.97,Staple holderNew Mexico,9,7,-24
Office Supplies,11,20,New York,22,20,1,8,33,3M Office Air Cleaner,2,Appliances,20.784,25.98,3M Office Air CleanerNew York,25,23,-8
Office Supplies,11,35,New York,40,18,1,8,35,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,5,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomNew York,43,38,8
Office Supplies,8,49,New York,57,12,1,7,49,Staple holder,8,Appliances,9.576,11.97,Staple holderNew York,58,50,9
Office Supplies,13,24,Texas,34,11,1,9,30,3M Office Air Cleaner,10,Appliances,20.784,25.98,3M Office Air CleanerTexas,38,28,8
Office Supplies,12,21,Texas,30,18,1,6,40,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,9,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomTexas,36,27,-4
Office Supplies,9,13,Texas,15,10,1,5,28,Staple holder,2,Appliances,9.576,11.97,Staple holderTexas,19,17,-9
Office Supplies,9,0,Washington,2,19,1,7,45,3M Office Air Cleaner,2,Appliances,20.784,25.98,3M Office Air CleanerWashington,4,2,-41
Office Supplies,9,40,Washington,44,19,1,9,49,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,4,Appliances,88.8336,111.042,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 RoomWashington,44,40,-5
